City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
194,Sylvania,US,2022-05-09 23:11:00,41.7189,-83.713,75.22,47,0,10.36
195,Souillac,MU,2022-05-09 23:15:10,-20.5167,57.5167,73.78,94,40,3.44
196,Lagoa,PT,2022-05-09 23:15:10,39.05,-27.9833,62.46,85,74,1.74
197,Olesno,PL,2022-05-09 23:15:11,50.877,18.4209,48.72,72,82,7.52
198,Petatlan,MX,2022-05-09 23:15:11,17.5167,-101.2667,85.8,56,4,6.49
199,Viedma,AR,2022-05-09 23:15:12,-40.8135,-62.9967,54.14,69,73,12.26
200,Kijang,KR,2022-05-09 23:15:12,35.2442,129.2139,62.33,61,100,14.76
201,Fortuna,US,2022-05-09 23:15:13,40.5982,-124.1573,54.66,83,100,8.05
202,Tura,IN,2022-05-09 23:15:13,25.5198,90.2201,71.24,91,95,2.68
203,General Roca,AR,2022-05-09 23:15:14,-39.0333,-67.5833,60.26,38,35,7.74
204,Guerrero Negro,MX,2022-05-09 23:15:15,27.9769,-114.0611,64.99,58,0,22.79
205,Egvekinot,RU,2022-05-09 23:15:15,66.3167,-179.1667,23.09,88,77,4.5
206,Krasnoselkup,RU,2022-05-09 23:15:16,65.7,82.4667,34.7,100,100,11.21
207,Bandarbeyla,SO,2022-05-09 23:15:17,9.4942,50.8122,81.88,84,86,1.12
208,Mackenzie,CA,2022-05-09 23:15:17,55.2999,-123.1698,46.62,49,40,8.05
209,Grindavik,IS,2022-05-09 23:15:18,63.8424,-22.4338,44.55,81,20,16.11
210,Elblag,PL,2022-05-09 23:15:18,54.1522,19.4088,36.95,68,43,6.91
211,Esperance,AU,2022-05-09 23:11:07,-33.8667,121.9,61.77,43,58,15.86
212,Mitsamiouli,KM,2022-05-09 23:15:19,-11.3847,43.2844,80.64,78,34,8.9
213,Tuatapere,NZ,2022-05-09 23:15:20,-46.1333,167.6833,50.31,77,76,3.51
214,Wajima,JP,2022-05-09 23:15:20,37.4,136.9,59.68,67,20,11.5
215,Douglas,US,2022-05-09 23:15:21,41.3,-96.167,93.02,32,40,14.97
216,Asau,RO,2022-05-09 23:15:22,46.4333,26.4,52.95,100,78,1.9
217,Taoudenni,ML,2022-05-09 23:15:22,22.6783,-3.9836,87.21,11,0,11.5
218,Sturgeon Bay,US,2022-05-09 23:15:23,44.8342,-87.377,69.78,48,100,23.02
219,Bambous Virieux,MU,2022-05-09 23:15:23,-20.3428,57.7575,73.65,94,40,3.44
220,Port Hardy,CA,2022-05-09 23:15:24,50.6996,-127.4199,50.18,81,75,3.44
221,Roros,NO,2022-05-09 23:15:24,62.5747,11.3842,46.24,53,40,5.75
222,Petropavlovka,RU,2022-05-09 23:15:25,50.6114,105.3196,32.99,51,100,8.66
223,Erenhot,CN,2022-05-09 23:15:26,43.6475,111.9767,45.18,78,100,14.05
224,Leeton,AU,2022-05-09 23:15:26,-34.5667,146.4,54.9,69,100,12.06
225,Mareeba,AU,2022-05-09 23:15:27,-17.0,145.4333,75.43,89,99,8.93
226,Mandalgovi,MN,2022-05-09 23:16:25,45.7625,106.2708,34.11,41,100,14.36
227,Kutum,SD,2022-05-09 23:16:28,14.2,24.6667,78.44,11,2,9.33
228,Dashitou,CN,2022-05-09 23:16:28,43.3067,128.5114,58.28,30,47,4.14
229,Cambridge,CA,2022-05-09 23:16:29,43.3601,-80.3127,65.05,30,0,14.97
230,Xinzhi,CN,2022-05-09 23:16:30,36.4989,111.7047,54.34,83,3,3.4
231,High Prairie,CA,2022-05-09 23:16:30,55.4334,-116.4858,32.07,84,100,10.18
232,Baft,IR,2022-05-09 23:16:31,29.234,56.6057,55.38,9,0,2.86
233,Marawi,PH,2022-05-09 23:16:31,7.9986,124.2928,73.42,88,96,0.81
234,Bintulu,MY,2022-05-09 23:16:32,3.1667,113.0333,77.41,94,20,3.44
235,Lang Son,VN,2022-05-09 23:16:32,21.8333,106.7333,73.56,94,91,0.74
236,North Bend,US,2022-05-09 23:13:42,43.4065,-124.2243,49.15,93,100,4.61
237,Broken Hill,AU,2022-05-09 23:16:33,-31.95,141.4333,52.34,63,79,14.9
238,Saint-Esteve,FR,2022-05-09 23:16:33,42.7131,2.843,66.18,81,0,2.3
239,Buta,CD,2022-05-09 23:16:34,2.7858,24.73,70.61,99,80,3.2
240,Kemi,FI,2022-05-09 23:16:34,65.8596,24.8228,37.17,87,100,14.97
241,Ostrovnoy,RU,2022-05-09 23:16:35,68.0531,39.5131,32.38,78,7,20.04
242,Camp Verde,US,2022-05-09 23:16:35,34.5636,-111.8543,80.24,14,0,22.93
243,Acajutla,SV,2022-05-09 23:16:36,13.5928,-89.8275,84.29,70,100,3.91
244,Santa Barbara,US,2022-05-09 23:12:34,34.7333,-120.0343,67.3,32,0,16.11
245,Kamaishi,JP,2022-05-09 23:16:37,39.2667,141.8833,55.6,52,0,2.95
246,Severodvinsk,RU,2022-05-09 23:16:37,64.5635,39.8302,32.11,77,7,6.8
247,Gurupi,BR,2022-05-09 23:16:38,-11.7292,-49.0686,77.16,50,32,3.31
248,San-Pedro,CI,2022-05-09 23:14:46,4.7485,-6.6363,79.77,83,66,6.87
249,Marsh Harbour,BS,2022-05-09 23:16:39,26.5412,-77.0636,74.82,68,44,15.99
